Image Name,MOS,,
ss03 (3753).jpg,0.8471,,
ss01 (1726).jpg,0.2874,,
ss03 (5905).jpg,0.7314,,
ss03 (961).jpg,0.6596,,
ss03 (5215).jpg,0.7628,,
ss02 (167).jpg,0.3522,,
ss03 (4195).jpg,0.6537,,
ss01 (1196).jpg,0.1785,,
ss03 (7945).jpg,0.7769,,
ss03 (1607).jpg,0.7082,,
ss01 (775).jpg,0.1099,,
ss03 (4865).jpg,0.8339,,
ss01 (703).jpg,0.5120,,
ss03 (281).jpg,0.8502,,
ss03 (3225).jpg,0.8388,,
ss02 (1376).jpg,0.4928,,
ss03 (3166).jpg,0.7154,,
ss03 (2249).jpg,0.7066,,
ss03 (6294).jpg,0.7206,,
ss03 (180).jpg,0.8440,,
ss03 (4138).jpg,0.8269,,
ss03 (6088).jpg,0.7425,,
ss01 (1692).jpg,0.1338,,
ss03 (6666).jpg,0.7325,,
ss03 (4784).jpg,0.7994,,
ss03 (5710).jpg,0.8610,,
ss03 (6538).jpg,0.7454,,
ss03 (5806).jpg,0.6779,,
ss03 (7784).jpg,0.8255,,
ss03 (2987).jpg,0.8356,,
ss03 (4197).jpg,0.9338,,
ss03 (6852).jpg,0.8507,,
ss03 (2714).jpg,0.7907,,
ss03 (634).jpg,0.6892,,
ss03 (57).jpg,0.8095,,
ss02 (1383).jpg,0.3719,,
ss03 (6004).jpg,0.7288,,
ss02 (1962).jpg,0.5842,,
ss03 (2790).jpg,0.7881,,
ss03 (1765).jpg,0.5781,,
ss03 (6736).jpg,0.7283,,
ss03 (3371).jpg,0.7424,,
ss03 (403).jpg,0.7849,,
ss03 (2406).jpg,0.5826,,
ss03 (2021).jpg,0.6712,,
ss03 (5143).jpg,0.8101,,
ss01 (104).jpg,0.8472,,
ss03 (4374).jpg,0.8929,,
ss02 (1497).jpg,0.2778,,
ss02 (1232).jpg,0.4566,,
ss01 (405).jpg,0.5991,,
ss02 (708).jpg,0.2967,,
ss02 (384).jpg,0.5970,,
ss03 (7376).jpg,0.5835,,
ss03 (7587).jpg,0.6606,,
ss02 (1041).jpg,0.6097,,
ss03 (7216).jpg,0.5308,,
ss03 (7452).jpg,0.4756,,
ss03 (6452).jpg,0.8341,,
