Image Name,MOS
ss03 (3753).jpg,0.83292
ss01 (1726).jpg,0.28289
ss03 (5905).jpg,0.71918
ss03 (961).jpg,0.64861
ss03 (5215).jpg,0.75000
ss02 (167).jpg,0.34655
ss03 (4195).jpg,0.64276
ss01 (1196).jpg,0.17591
ss03 (7945).jpg,0.76391
ss03 (1607).jpg,0.69643
ss01 (775).jpg,0.10849
ss03 (4865).jpg,0.81989
ss01 (703).jpg,0.50362
ss03 (281).jpg,0.83585
ss03 (3225).jpg,0.82466
ss02 (1376).jpg,0.48474
ss03 (3166).jpg,0.70348
ss03 (2249).jpg,0.69482
ss03 (6294).jpg,0.70857
ss03 (180).jpg,0.82978
ss03 (4138).jpg,0.81297
ss03 (6088).jpg,0.73012
ss01 (1692).jpg,0.13195
ss03 (6666).jpg,0.72030
ss03 (4784).jpg,0.78602
ss03 (5710).jpg,0.84652
ss03 (6538).jpg,0.73292
ss03 (5806).jpg,0.66657
ss03 (7784).jpg,0.81158
ss03 (2987).jpg,0.82163
ss03 (4197).jpg,0.91812
ss03 (6852).jpg,0.83637
ss03 (2714).jpg,0.77743
ss03 (634).jpg,0.67773
ss03 (57).jpg,0.79587
ss02 (1383).jpg,0.36594
ss03 (6004).jpg,0.71663
ss02 (1962).jpg,0.57454
ss03 (2790).jpg,0.77493
ss03 (1765).jpg,0.56845
ss03 (6736).jpg,0.71612
ss03 (3371).jpg,0.73001
ss03 (403).jpg,0.77174
ss03 (2406).jpg,0.57301
ss03 (2021).jpg,0.66002
ss03 (5143).jpg,0.79645
ss01 (104).jpg,0.83301
ss03 (4374).jpg,0.87790
ss02 (1497).jpg,0.27348
ss02 (1232).jpg,0.44916
ss01 (405).jpg,0.58924
ss02 (708).jpg,0.29198
ss02 (384).jpg,0.58709
ss03 (7376).jpg,0.57381
ss03 (7587).jpg,0.64964
ss02 (1041).jpg,0.59964
ss03 (7216).jpg,0.52213
ss03 (7452).jpg,0.46779
ss03 (6452).jpg,0.82008
ss03 (7513).jpg,0.59875
ss03 (487).jpg,0.79608
ss02 (936).jpg,0.28065
ss03 (7770).jpg,0.80335
ss02 (1110).jpg,0.58072
ss03 (4147).jpg,0.79191
ss02 (1975).jpg,0.45323
ss03 (2945).jpg,0.83773
ss03 (6286).jpg,0.74038
ss02 (1753).jpg,0.43416
ss03 (1966).jpg,0.56376
ss03 (5797).jpg,0.74243
ss03 (7902).jpg,0.60347
ss01 (325).jpg,0.19261
ss03 (3123).jpg,0.70614
ss01 (1249).jpg,0.77711
ss03 (3486).jpg,0.82328
ss03 (1017).jpg,0.69992
ss03 (6366).jpg,0.34385
ss03 (4962).jpg,0.81430
ss03 (2078).jpg,0.76711
ss03 (4367).jpg,0.84179
ss03 (4298).jpg,0.73584
ss01 (200).jpg,0.28591
ss03 (818).jpg,0.65831
ss02 (1819).jpg,0.48435
ss01 (829).jpg,0.11150
ss03 (3204).jpg,0.83788
ss01 (50).jpg,0.13980
ss03 (4153).jpg,0.82387
ss02 (804).jpg,0.43655
ss03 (5707).jpg,0.44527
ss03 (5330).jpg,0.74590
ss03 (4373).jpg,0.75111
ss03 (311).jpg,0.69182
ss03 (6747).jpg,0.77298
ss03 (1480).jpg,0.80093
ss03 (6758).jpg,0.77024
ss03 (6177).jpg,0.71701
ss02 (1428).jpg,0.23652
ss03 (5756).jpg,0.69560
ss03 (5731).jpg,0.59196
ss03 (228).jpg,0.55479
ss02 (613).jpg,0.64783
ss03 (2298).jpg,0.77199
ss03 (3421).jpg,0.78986
ss03 (6056).jpg,0.67639
ss03 (6162).jpg,0.69289
ss01 (1687).jpg,0.31024
ss03 (7275).jpg,0.34503
ss03 (2610).jpg,0.79847
ss03 (4736).jpg,0.79658
ss02 (925).jpg,0.48906
ss01 (737).jpg,0.24608
ss03 (6493).jpg,0.61855
ss03 (3283).jpg,0.64808
ss02 (98).jpg,0.58121
ss01 (577).jpg,0.54568
ss03 (4225).jpg,0.84225
ss03 (377).jpg,0.47854
ss01 (475).jpg,0.37626
ss03 (1967).jpg,0.71071
ss03 (5727).jpg,0.79322
ss02 (396).jpg,0.80086
ss03 (1009).jpg,0.66503
ss03 (825).jpg,0.78268
ss03 (4540).jpg,0.74492
ss02 (1176).jpg,0.33812
ss02 (1559).jpg,0.20398
ss03 (472).jpg,0.45378
ss03 (3240).jpg,0.68185
ss03 (1627).jpg,0.52868
ss03 (2825).jpg,0.80737
ss02 (376).jpg,0.53277
ss03 (1243).jpg,0.51015
ss03 (4004).jpg,0.76071
ss03 (568).jpg,0.71524
ss02 (932).jpg,0.44358
ss03 (891).jpg,0.66953
ss03 (671).jpg,0.66519
ss01 (195).jpg,0.20187
ss01 (1355).jpg,0.73487
ss03 (2673).jpg,0.80697
ss03 (5037).jpg,0.80462
ss03 (3364).jpg,0.70655
ss03 (7970).jpg,0.77368
ss03 (4703).jpg,0.71998
ss03 (4737).jpg,0.70520
ss03 (2349).jpg,0.82256
ss01 (1571).jpg,0.20913
ss03 (1405).jpg,0.84701
ss03 (6470).jpg,0.55630
ss03 (3186).jpg,0.82408
ss03 (2683).jpg,0.79712
ss03 (5552).jpg,0.61639
ss03 (7178).jpg,0.58356
ss01 (1746).jpg,0.49565
ss03 (1029).jpg,0.76831
ss03 (826).jpg,0.74676
ss03 (6882).jpg,0.77704
ss03 (7121).jpg,0.76584
ss03 (1730).jpg,0.57267
ss01 (452).jpg,0.23869
ss03 (1318).jpg,0.60193
ss03 (1004).jpg,0.59071
ss03 (4702).jpg,0.76019
ss03 (2250).jpg,0.68491
ss03 (328).jpg,0.54786
ss03 (3511).jpg,0.70237
ss01 (1312).jpg,0.73687
ss03 (1116).jpg,0.77798
ss01 (444).jpg,0.73430
ss03 (7171).jpg,0.75780
ss01 (1333).jpg,0.17246
ss02 (1630).jpg,0.56515
ss03 (4129).jpg,0.79373
ss03 (1944).jpg,0.64021
ss03 (3362).jpg,0.70175
ss03 (1850).jpg,0.80719
ss03 (4179).jpg,0.73650
ss01 (1965).jpg,0.50037
ss03 (6371).jpg,0.69346
ss03 (5581).jpg,0.81666
ss03 (2886).jpg,0.81731
ss03 (1833).jpg,0.80990
ss03 (4392).jpg,0.82116
ss03 (3687).jpg,0.70519
ss02 (464).jpg,0.47101
ss03 (6574).jpg,0.79107
ss01 (1390).jpg,0.69685
ss03 (2705).jpg,0.79656
ss03 (7696).jpg,0.78338
ss03 (2143).jpg,0.82079
ss02 (61).jpg,0.53718
ss02 (8).jpg,0.50191
ss01 (887).jpg,0.18011
ss03 (864).jpg,0.74422
ss02 (488).jpg,0.45194
ss03 (746).jpg,0.82779
ss03 (4668).jpg,0.76953
ss03 (1193).jpg,0.74379
ss01 (363).jpg,0.75583
ss02 (679).jpg,0.37941
ss01 (510).jpg,0.63715
ss03 (785).jpg,0.65094
ss03 (1166).jpg,0.75755
ss02 (805).jpg,0.13784
ss03 (4501).jpg,0.72975
ss01 (542).jpg,0.20731
ss03 (3563).jpg,0.76879
ss03 (4177).jpg,0.74722
ss03 (2982).jpg,0.83238
ss03 (2101).jpg,0.78260
ss03 (3233).jpg,0.76116
ss03 (5118).jpg,0.74119
ss03 (7340).jpg,0.71112
ss03 (722).jpg,0.57261
ss03 (5837).jpg,0.87781
ss03 (588).jpg,0.65287
ss03 (4666).jpg,0.72795
ss03 (4234).jpg,0.84909
ss02 (501).jpg,0.61688
ss01 (1784).jpg,0.18437
ss03 (822).jpg,0.75603
ss03 (2014).jpg,0.68414
ss03 (4663).jpg,0.77302
ss02 (655).jpg,0.54601
ss03 (974).jpg,0.68277
ss02 (1208).jpg,0.63960
ss03 (1001).jpg,0.77591
ss01 (1882).jpg,0.72383
ss01 (1113).jpg,0.73065
ss03 (7808).jpg,0.80755
ss02 (1513).jpg,0.48807
ss03 (437).jpg,0.80674
ss01 (321).jpg,0.76556
ss02 (864).jpg,0.49326
ss03 (7398).jpg,0.82064
ss03 (7316).jpg,0.77149
ss02 (193).jpg,0.44913
ss03 (3669).jpg,0.81131
ss01 (1767).jpg,0.21279
ss03 (7763).jpg,0.67841
ss03 (1364).jpg,0.74991
ss03 (3061).jpg,0.80043
ss03 (4025).jpg,0.85604
ss03 (3643).jpg,0.75102
ss03 (5166).jpg,0.76836
ss01 (1933).jpg,0.20214
ss03 (1917).jpg,0.57930
ss03 (7393).jpg,0.31471
ss02 (1518).jpg,0.29296
ss03 (7175).jpg,0.56089
ss01 (357).jpg,0.57471
ss01 (1725).jpg,0.20834
ss03 (5882).jpg,0.67556
ss03 (5695).jpg,0.82529
ss03 (3375).jpg,0.71371
ss01 (493).jpg,0.74728
ss03 (3329).jpg,0.69343
ss03 (5433).jpg,0.75225
ss01 (551).jpg,0.15880
ss03 (3582).jpg,0.81088
ss03 (2301).jpg,0.60703
ss01 (623).jpg,0.38787
ss01 (490).jpg,0.34387
ss03 (5472).jpg,0.75560
ss03 (7238).jpg,0.70038
ss01 (1188).jpg,0.58744
ss03 (1857).jpg,0.73069
ss03 (7855).jpg,0.86470
ss03 (6265).jpg,0.77857
ss03 (1781).jpg,0.73275
ss03 (2304).jpg,0.62509
ss03 (1291).jpg,0.80582
ss03 (346).jpg,0.24404
ss02 (1870).jpg,0.34304
ss02 (105).jpg,0.62945
ss02 (252).jpg,0.58893
ss03 (5987).jpg,0.73338
ss03 (1065).jpg,0.78130
ss03 (5976).jpg,0.46101
ss03 (1561).jpg,0.70915
ss01 (1850).jpg,0.45113
ss01 (237).jpg,0.24672
ss03 (1647).jpg,0.70103
ss01 (1170).jpg,0.49604
ss02 (589).jpg,0.34146
ss03 (4405).jpg,0.75004
ss01 (156).jpg,0.20057
ss03 (291).jpg,0.83667
ss03 (190).jpg,0.51693
ss03 (5766).jpg,0.72262
ss01 (927).jpg,0.77817
ss03 (575).jpg,0.62677
ss03 (7281).jpg,0.75472
ss03 (5328).jpg,0.66995
ss02 (168).jpg,0.39096
ss02 (219).jpg,0.15866
ss03 (6477).jpg,0.17594
ss02 (279).jpg,0.58166
ss03 (4610).jpg,0.69222
ss03 (6263).jpg,0.65529
ss02 (1533).jpg,0.49540
ss03 (3888).jpg,0.71591
ss02 (803).jpg,0.55989
ss03 (4016).jpg,0.80087
ss03 (5074).jpg,0.80694
ss03 (105).jpg,0.65113
ss03 (2901).jpg,0.75128
ss03 (1862).jpg,0.76730
ss03 (1748).jpg,0.76272
ss03 (307).jpg,0.71349
ss01 (139).jpg,0.57532
ss03 (5009).jpg,0.78815
ss03 (543).jpg,0.78533
ss03 (6626).jpg,0.50443
ss03 (3597).jpg,0.79348
ss03 (1310).jpg,0.80361
ss01 (1291).jpg,0.26305
ss03 (3483).jpg,0.83265
ss01 (15).jpg,0.52562
ss03 (6103).jpg,0.60244
ss03 (1736).jpg,0.58693
ss01 (1996).jpg,0.36138
ss03 (981).jpg,0.79036
ss03 (3071).jpg,0.71484
ss03 (3451).jpg,0.78939
ss03 (3916).jpg,0.78724
ss01 (199).jpg,0.44896
ss03 (1287).jpg,0.67858
ss03 (6203).jpg,0.72775
ss03 (2148).jpg,0.56904
ss03 (1421).jpg,0.77206
ss03 (4243).jpg,0.71874
ss03 (1263).jpg,0.60445
ss02 (34).jpg,0.49457
ss01 (1561).jpg,0.38090
ss03 (3566).jpg,0.76562
ss01 (1093).jpg,0.15947
ss03 (3741).jpg,0.78105
ss03 (1266).jpg,0.76454
ss03 (5292).jpg,0.72359
ss03 (1532).jpg,0.78833
ss03 (3203).jpg,0.71268
ss03 (5478).jpg,0.79495
ss03 (1630).jpg,0.72388
ss03 (937).jpg,0.64994
ss03 (7287).jpg,0.79028
ss02 (237).jpg,0.21120
ss02 (1763).jpg,0.20638
ss03 (2190).jpg,-0.00468
